officer_id,job_title,badge_number,id
#0,Police Officer,227,
#1,Police Officer,206,
#2,Police Officer,271,
#3,Police Officer,279,
#4,Police Chief,600,
#5,Deputy Chief,502,
#6,Police Officer,204,
#7,Police Officer,228,
#8,Police Officer,212,
#9,Police Officer,274,
#10,Police Officer,223,
#11,Police Officer,255,
#12,Police Officer,296,
#13,Police Officer,289,
#14,Sergeant,307,
#15,Police Officer,213,
#16,Police Officer,210,
#17,Police Officer,251,
#18,Police Officer,266,
#19,Police Officer,272,
#20,Police Officer,235,
#21,Police Officer,203,
#22,Police Officer,277,
#23,Commander,401,
#24,Sergeant,304,
#25,Police Officer,236,
#26,Sergeant,306,
#27,Police Officer,248,
#28,Police Officer,234,
#29,Commander,404,
#30,Police Officer,244,
#31,Police Officer,220,
#32,Police Officer,215,
#33,Sergeant,302,
#34,Police Officer,219,
#35,Police Officer,245,
#36,Police Officer,291,
#37,Police Officer,258,
#38,Police Officer,208,
#39,Police Officer,214,
#40,Police Officer,222,
#41,Police Officer,242,
#42,Police Officer,247,
#43,Police Officer,254,
#44,Police Officer,240,
#45,Police Officer,281,
#46,Sergeant,309,
#47,Police Officer,224,
#48,Police Officer,218,
#49,Police Officer,268,
#50,Commander,406,
#51,Sergeant,305,
#52,Police Officer,249,
#53,Sergeant,303,
#54,Police Officer,259,
#55,Police Officer,280,
#56,Police Officer,226,
#57,Police Officer,270,
#58,Police Officer,202,
#59,Police Officer,246,
#60,Commander,403,
#61,Police Officer,257,
#62,Police Officer,209,
#63,Police Officer,201,
#64,Police Officer,292,
#65,Police Officer,253,
#66,Police Officer,231,
#67,Police Officer,250,
#68,Police Officer,230,
#69,Sergeant,316,
#70,Commander,402,
#71,Police Officer,200,
#72,Police Officer,239,
#73,Police Officer,273,
#74,Police Officer,260,
#75,Police Officer,241,
#76,Police Officer,264,
#77,Sergeant,313,
#78,Police Officer,233,
#79,Police Officer,267,
#80,Police Officer,205,
#81,Commander,405,
#82,Police Officer,294,
#83,Police Officer,265,
#84,Sergeant,311,
#85,Police Officer,278,
#86,Police Officer,243,
#87,Police Officer,286,
#88,Sergeant,312,
#89,Sergeant,308,
#90,Police Officer,252,
#91,Police Officer,229,
#92,Police Officer,295,
#93,Police Officer,232,
#94,Police Officer,207,
#95,Police Officer,221,
#96,Police Officer,225,
#97,Police Officer,216,
#98,Police Officer,238,
#99,Deputy Chief,501,
#100,Police Officer,282,
#101,Sergeant,314,
#102,Sergeant,310,
#103,Police Officer,285,
#104,Police Officer,237,
#105,Police Officer,298,
