id,officer_id,start_date,job_title,badge_number
,#0,,Police Officer,364
,#1,,Probationary Police Officer,417
,#2,,Police Officer,377
,#3,,Probationary Police Officer,302
,#4,,Sergeant,134
,#5,,Police Officer,435
,#6,,Police Officer,428
,#7,,Police Officer,418
,#8,2015-09-28,Sergeant,138
,#9,2018-04-06,Sergeant,124
,#10,,Probationary Police Officer,357
,#11,,Sergeant,130
,#12,,Police Officer,429
,#13,,Police Officer,317
,#14,,Police Officer,328
,#15,,Police Officer,381
,#16,,Police Officer,362
,#17,,Police Officer,335
,#18,2017-12-19,Sergeant,122
,#19,,Police Officer,348
,#20,,Police Officer,397
,#21,2006-11-17,Sergeant,119
,#22,,Police Officer,405
,#23,2017-12-19,Sergeant,135
,#24,,Police Officer,343
,#25,,Police Officer,324
,#26,2017-12-01,Commander,25
,#27,,Police Officer,396
,#28,,Police Officer,383
,#29,2018-04-06,Sergeant,116
,#30,,Probationary Police Officer,336
,#31,,Police Officer,323
,#32,,Police Officer,388
,#33,,Probationary Police Officer,312
,#34,,Police Officer,382
,#35,,Probationary Police Officer,352
,#36,2020-05-22,Sergeant,113
,#37,,Police Officer,433
,#38,,Police Officer,319
,#39,,Police Officer,384
,#40,2015-09-28,Sergeant,137
,#41,,Police Officer,344
,#42,,Police Officer,395
,#43,,Police Officer,430
,#44,,Police Officer,369
,#45,,Police Officer,438
,#46,,Police Officer,349
,#47,2019-05-31,Commander,28
,#48,,Probationary Police Officer,407
,#49,2020-10-21,Deputy Chief,29
,#50,,Police Officer,398
,#51,,Probationary Police Officer,360
,#52,,Police Officer,338
,#53,,Police Officer,341
,#54,,Police Officer,393
,#55,,Police Officer,353
,#56,,Police Officer,439
,#57,,Probationary Police Officer,401
,#58,,Police Officer,409
,#59,,Police Officer,347
,#60,,Police Officer,329
,#61,,Police Officer,441
,#62,,Police Officer,303
,#63,,Police Officer,327
,#64,,Probationary Police Officer,351
,#65,,Police Officer,372
,#66,,Police Officer,378
,#67,,Police Officer,421
,#68,,Police Officer,432
,#69,,Police Officer,371
,#70,2018-10-24,Sergeant,121
,#71,2019-05-24,Deputy Chief,26
,#72,,Police Officer,373
,#73,,Police Officer,309
,#74,,Police Officer,306
,#75,,Police Officer,355
,#76,,Police Officer,376
,#77,2020-03-27,Sergeant,132
,#78,,Police Officer,331
,#79,,Police Officer,436
,#80,,Probationary Police Officer,358
,#81,,Police Officer,339
,#82,,Police Officer,387
,#83,,Police Officer,411
,#84,,Police Officer,408
,#85,,Police Officer,370
,#86,2018-04-06,Sergeant,136
,#87,,Police Officer,442
,#88,2019-01-08,Chief of Police,16
,#89,,Police Officer,391
,#90,,Police Officer,423
,#91,2017-12-19,Sergeant,129
,#92,,Police Officer,420
,#93,,Police Officer,325
,#94,2020-01-03,Commander,22
,#95,,Police Officer,354
,#96,,Police Officer,390
,#97,2019-05-31,Commander,27
,#98,2004-09-27,Sergeant,118
,#99,,Police Officer,356
,#100,,Police Officer,365
,#101,,Police Officer,379
,#102,2020-03-27,Sergeant,131
,#103,,Probationary Police Officer,320
,#104,,Police Officer,340
,#105,,Police Officer,313
,#106,,Police Officer,375
,#107,,Police Officer,350
,#108,,Police Officer,374
,#109,,Police Officer,332
,#110,,Police Officer,437
,#111,2018-04-06,Sergeant,112
,#112,,Police Officer,315
,#113,,Probationary Police Officer,311
,#36,,Not Sure,443
,#49,,Not Sure,141
,#77,,Not Sure,394
,#94,,Not Sure,143
,#102,,Not Sure,419
